City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
461,Coruripe,BR,78.42,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
462,Bourail,NC,80.42,-21.5667,165.4833,Motel Allamanda
467,Aripuana,BR,77.83,-9.1667,-60.6333,
470,Mount Isa,AU,87.8,-20.7333,139.5,ibis Styles Mt Isa Verona
475,Kathu,TH,84.0,7.9178,98.3332,Novotel Phuket Resort
478,Saint-Pierre,RE,80.6,-21.3393,55.4781,Lindsey Hôtel
479,Cabo San Lucas,MX,77.0,22.8909,-109.9124,Hotel Tesoro Los Cabos
480,Jaciara,BR,76.3,-15.9653,-54.9683,Taba Hotel
484,Presidencia Roque Saenz Pena,AR,81.0,-26.7852,-60.4388,Hotel Gualok
488,Chazuta,PE,89.6,-6.5742,-76.1367,Hospedaje Feliz Amanecer
490,Suleja,NG,80.6,9.1758,7.1808,Capy Motel
492,Pak Phanang,TH,77.04,8.3511,100.20200000000001,Green Park Inn Hotel
494,Ambon,ID,77.0,-3.6954,128.1814,Swiss-Belhotel Ambon
499,Concordia,AR,75.2,-31.393,-58.0209,Palmar Hotel Casino
500,Caratinga,BR,82.4,-19.7897,-42.1392,Hotel Rota 116
502,Alice Springs,AU,86.0,-23.7,133.8833,Desert Palms Alice Springs
504,Santa Maria,BR,77.0,-29.6842,-53.8069,Hotel Morotin
512,Luwuk,ID,79.92,-0.9516,122.7875,Hotel Santika Luwuk
513,Acari,PE,76.41,-15.4311,-74.6158,HOSPEDAJE XIMENA
520,Cockburn Town,TC,75.2,21.4612,-71.1419,Osprey Beach Hotel
522,Gamba,GA,78.37,-2.65,10.0,
523,Bonthe,SL,78.17,7.5264,-12.505,Bonthe Holiday Village
525,Ballina,AU,78.8,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
531,Souillac,MU,80.6,-20.5167,57.5167,Shanti Maurice Resort & Spa
534,Luanda,AO,80.6,-8.8368,13.2343,EPIC SANA Luanda
535,Morada Nova,BR,79.79,-5.1067,-38.3725,PIZZARIA MARIANA
548,Yeppoon,AU,78.8,-23.1333,150.7333,Villa Mar Colina
549,Yulara,AU,84.2,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
553,Karratha,AU,84.7,-20.7377,116.8463,ibis Styles Karratha
554,Santa Maria Da Vitoria,BR,80.04,-13.3947,-44.1886,Pousada Rio Current
555,Mumford,GH,80.29,5.2618,-0.759,Spanish Villa
559,Malakal,SS,77.58,9.5334,31.6605,Nile Palace Hotel
564,Teluknaga,ID,77.0,-6.0989,106.6381,Bale Ocasa hotel
568,Sapa,PH,80.44,5.1544,120.3241,
571,Mitu,CO,77.18,1.1983,-70.1733,
575,Noumea,NC,80.6,-22.2763,166.4572,Hôtel Le Lagon
576,Beloha,MG,75.72,-25.1667,45.05,
577,Barberton,ZA,78.01,-25.7884,31.0532,Barberton B&B
578,Mucuri,BR,77.38,-18.0864,-39.5508,La Bodeguita Pousada
580,Coihaique,CL,78.8,-45.5752,-72.0662,Diego De Almagro Coyhaique
582,Maragogi,BR,78.26,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
585,Riacho De Santana,BR,81.99,-13.6092,-42.9389,Apartamento de Kaio.
587,Sitio Novo Do Tocantins,BR,89.6,-5.5183,-47.4611,Imperial Hotel
589,Tulagi,SB,84.78,-9.0996,160.1476,Raiders Hotel & Dive
592,Quisqueya,DO,78.8,18.5554,-69.4081,ElFuetazo del 13
596,Maryborough,AU,81.0,-25.5333,152.7,Blue Shades Motel
597,Mitsamiouli,KM,82.81,-11.3847,43.2844,Foyer ADM
598,Miandrivazo,MG,79.54,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
599,Looc,PH,76.06,12.2605,121.9926,Cummings Highlands
607,Ballitoville,ZA,79.0,-29.539,31.2144,Hotel Fairmont Zimbali Resort
609,Sedhiou,SN,78.8,12.7081,-15.5569,Auberge Cheznous
627,Haapiti,PF,86.0,-17.5667,-149.8667,Linareva Moorea Beach Resort
628,Pangai,TO,80.6,-19.8,-174.35,Ha'apai Beach Resort
631,Bocanda,CI,80.4,7.0626,-4.4995,Hôtel les Résidences Mohyé
634,Puerto Escondido,MX,84.2,15.85,-97.0667,Aldea del Bazar Hotel and Spa
635,Rurrenabaque,BO,87.8,-14.4413,-67.5278,Casa de Campo
639,Domoni,KM,79.27,-12.2569,44.5319,Al Djadid
642,Inirida,CO,77.52,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
646,Lagos,NG,79.57,6.5833,3.75,
650,Galle,LK,75.56,6.0367,80.217,Amangalla
656,Contamana,PE,80.1,-7.3333,-75.0167,Shiringal Touristic Park
661,Cayenne,GF,80.6,4.9333,-52.3333,Hôtel Le Dronmi
668,Caxito,AO,80.6,-8.5785,13.6643,
669,Idah,NG,79.43,7.1065,6.7342,Ubiga Hotel Idah
673,Mackay,AU,80.6,-21.15,149.2,International Lodge Motel
674,Nargana,PA,79.9,9.4428,-78.5906,Dubbir
